TRACT,Geographic Area Name_x,Poverty Level_Original_Value,Food Stamps_Original_Value,Disability under 5 years_Original_Value,Total population 5 years and over_Original_Value,Speak English less than very well_Original_Value,Other than english_Original_Value,Spanish_Original_Value,Indo-European languages_Original_Value,Asian and Pacific Island languages_Original_Value,Other languages_Original_Value,Naturalized U.S. citizen_Original_Value,Non U.S. citizen_Original_Value,Foster Children_Original_Value,Education Level (Highscool Degree Only or Below)_Original_Value,Pregancy_Original_Value,Low BirthWeights_Original_Value,Unemployment_Original_Value,Uninsured_Original_Value,Age below 5 Years_Original_Value,Population 0-5_Original_Value,Free Lunch Students_Original_Value,"Low Income Tract (1=yes, 0=no)_Original_Value",Food Dessert_Original_Value,No Vehicle_Original_Value,Zip Code_Original_Value,Divorced_Original_Value,Seperated_Original_Value,Unnamed: 0.1,Geographic Area Name_y,Zip Code,Poverty Level,Food Stamps,Disability under 5 years,Total population 5 years and over,Speak English less than very well,Other than english,Spanish,Indo-European languages,Asian and Pacific Island languages,Other languages,Naturalized U.S. citizen,Non U.S. citizen,Foster Children,Education Level (Highscool Degree Only or Below),Pregancy,Low BirthWeights,Unemployment,Uninsured,Divorced,Seperated,Age below 5 Years,Population 0-5,Free Lunch Students,"Low Income Tract (1=yes, 0=no)",Food Dessert,No Vehicle,Foreign Born & Disadvantaged,Income Constrained,ECS Screening,Key,Health Zone,Name
12031000100,"Census Tract 1, Duval County, Florida",1593,323,13,5004,137,360,288,0,72,0,435,202,0,902,0,69,453,768,487,487,,1,1743.396556,420,32206,973.172,279.296,0,"Census Tract 1, Duval County, Florida",32206,81,64,100,46,16,18,29,1,15,1,49,32,1,60,1,62,97,74,82,100,53,43,,100,53,94,48,74,79,1,1,1
12031000200,"Census Tract 2, Duval County, Florida",855,185,0,2283,28,52,38,0,14,0,35,29,20,655,56,37,207,334,99,155,,1,1783.696402,210,32206,278.388,95.931,1,"Census Tract 2, Duval County, Florida",32206,43,37,1,21,4,3,5,1,4,1,5,6,21,43,27,33,44,32,20,35,11,13,,100,54,48,18,49,34,2,1,2
12031000300,"Census Tract 3, Duval County, Florida",998,136,0,2137,0,32,14,0,18,0,0,0,0,699,60,28,154,467,271,331,,1,1699.117202,163,32206,274.5,111.63,2,"Census Tract 3, Duval County, Florida",32206,51,28,1,20,1,2,2,1,5,1,1,1,1,46,29,25,32,44,20,40,30,29,,100,51,37,18,48,27,,1,3
12031000600,"Census Tract 6, Duval County, Florida",1761,390,0,5415,983,1293,444,39,795,15,285,866,11,1121,186,53,150,999,488,674,226,1,1500.356103,418,32247,548.64,194.4,3,"Census Tract 6, Duval County, Florida",32247,90,77,1,50,100,65,45,10,100,10,32,100,12,76,87,47,31,96,44,70,53,60,28,100,46,94,69,77,60,,1,6
12031000700,"Census Tract 7, Duval County, Florida",754,75,0,3926,198,434,94,73,247,20,166,296,0,237,64,22,123,349,324,388,,0,1120.011684,96,32207,331.248,86.832,4,"Census Tract 7, Duval County, Florida",32207,38,16,1,36,23,22,10,17,50,12,19,47,1,14,30,19,25,33,25,32,35,34,,0,34,22,24,21,20,,2,7
12031000800,"Census Tract 8, Duval County, Florida",298,43,19,2504,59,302,138,83,15,66,162,67,0,133,25,9,37,300,148,173,,0,821.7429348,209,32207,483,24.15,5,"Census Tract 8, Duval County, Florida",32207,15,9,100,23,8,15,15,19,4,39,19,11,1,6,13,7,7,28,38,10,16,14,,0,25,47,12,16,29,,2,8
12031001000,"Census Tract 10, Duval County, Florida",850,0,0,4295,150,313,173,69,60,11,177,142,0,1791,57,16,41,427,6,63,,1,178.7873688,579,32202,631.368,247.428,6,"Census Tract 10, Duval County, Florida",32202,43,1,1,39,18,16,18,16,13,7,20,23,1,100,27,14,8,41,52,88,1,4,,100,6,100,35,46,34,,1,10
12031001100,"Census Tract 11, Duval County, Florida",313,65,0,1694,20,81,20,54,0,7,25,69,46,241,19,15,54,263,90,109,,1,792.7864895,174,32202,346.332,39.494,7,"Census Tract 11, Duval County, Florida",32202,16,14,1,16,3,4,3,13,1,5,4,12,47,14,10,13,10,25,26,15,10,9,,100,25,40,9,30,22,,1,11
12031001200,"Census Tract 12, Duval County, Florida",648,39,0,1969,29,191,71,56,37,27,40,94,24,236,21,18,160,385,134,155,582,1,560.9298715,243,32206,428.736,120.12,8,"Census Tract 12, Duval County, Florida",32206,33,9,1,18,4,10,8,13,8,16,5,16,25,14,11,16,33,36,34,43,15,13,72,100,18,55,14,33,25,,1,12
12031001300,"Census Tract 13, Duval County, Florida",1390,307,0,3676,58,122,96,4,8,14,66,42,18,826,106,59,127,584,243,349,361,1,1872.203436,474,32209,462.9,101.838,9,"Census Tract 13, Duval County, Florida",32209,71,61,1,34,8,6,10,2,3,9,8,8,19,55,50,53,26,56,37,37,27,31,45,100,57,100,29,71,46,,1,13
12031001400,"Census Tract 14, Duval County, Florida",1673,412,0,4878,71,87,16,71,0,0,52,106,19,718,67,64,285,551,464,531,574,1,1800.021871,508,32208,707.57,220.86,10,"Census Tract 14, Duval County, Florida",32208,86,82,1,45,9,5,3,17,1,1,7,18,20,47,32,57,61,53,58,79,50,47,71,100,54,100,29,77,58,,1,14
12031001500,"Census Tract 15, Duval County, Florida",2378,408,38,3784,68,84,26,45,13,0,203,0,0,769,73,111,160,554,556,629,,1,1540.287335,536,32209,476.595,233.625,11,"Census Tract 15, Duval County, Florida",32209,100,81,100,35,9,5,4,11,4,1,23,1,1,51,35,100,33,53,38,84,60,56,,100,47,100,38,81,74,,1,15
12031001600,"Census Tract 16, Duval County, Florida",843,143,0,1187,19,31,12,19,0,0,5,19,71,352,32,38,73,200,184,216,395,1,782.2359167,234,32209,168.36,47.58,12,"Census Tract 16, Duval County, Florida",32209,43,29,1,11,3,2,2,5,1,1,2,4,100,22,16,34,14,18,10,18,20,18,49,100,24,53,12,42,36,,1,16
12031002101,"Census Tract 21.01, Duval County, Florida",449,28,11,2838,26,222,113,79,30,0,34,21,0,155,130,22,16,159,249,379,,0,755.7625472,207,32205,415.428,53.26,13,"Census Tract 21.01, Duval County, Florida",32205,23,6,100,26,4,11,12,18,7,1,5,4,1,8,61,19,2,15,32,20,27,33,,0,23,47,7,17,25,,4,21.01
12031002102,"Census Tract 21.02, Duval County, Florida",155,0,0,2612,25,85,53,32,0,0,57,54,0,113,9,10,42,205,18,27,,0,212.3651532,136,32204,254.981,35.745,14,"Census Tract 21.02, Duval County, Florida",32204,7,1,1,24,4,5,6,8,1,1,7,9,1,5,5,8,8,19,18,14,2,1,,0,7,31,6,7,3,,1,21.02
12031002200,"Census Tract 22, Duval County, Florida",406,48,0,3940,51,270,149,121,0,0,59,12,0,127,35,11,171,448,149,184,,0,365.3885721,173,32205,528.15,3.521,15,"Census Tract 22, Duval County, Florida",32205,20,10,1,36,7,14,16,28,1,1,7,3,1,6,17,9,36,43,42,2,16,15,,0,12,39,12,14,10,,4,22
12031002300,"Census Tract 23, Duval County, Florida",82,15,0,1530,10,69,22,7,40,0,13,44,0,55,10,4,11,109,88,98,,0,121.7665438,44,32210,243.411,25.326,16,"Census Tract 23, Duval County, Florida",32210,4,4,1,14,2,4,3,3,9,1,2,8,1,1,6,3,1,10,17,10,10,8,,0,5,11,2,2,1,,4,23
12031002400,"Census Tract 24, Duval County, Florida",92,9,0,1681,6,101,92,9,0,0,21,10,3,105,23,3,15,97,127,150,,0,273.0362514,21,32210,152.582,0,17,"Census Tract 24, Duval County, Florida",32210,4,3,1,15,2,5,10,3,1,1,3,3,4,5,12,2,2,8,9,1,14,12,,0,9,6,1,2,1,,4,24
12031002501,"Census Tract 25.01, Duval County, Florida",1039,183,0,3654,63,336,201,18,106,11,80,149,0,896,13,38,205,659,166,179,,1,2561.926878,447,32204,594.36,59.436,18,"Census Tract 25.01, Duval County, Florida",32204,53,37,1,34,8,17,21,5,22,7,10,24,1,60,7,34,43,63,48,22,18,15,,100,77,100,34,65,39,,1,25.01
12031002502,"Census Tract 25.02, Duval County, Florida",529,214,0,3734,11,206,32,139,35,0,22,119,0,288,31,42,174,464,202,233,,0,684.1482544,104,32254,594.018,64.92,19,"Census Tract 25.02, Duval County, Florida",32254,27,43,1,34,2,11,4,31,8,1,3,20,1,17,15,37,36,44,48,24,22,20,,0,21,24,20,24,22,,1,25.02
12031002600,"Census Tract 26, Duval County, Florida",1711,275,0,3215,24,201,163,10,28,0,98,69,75,838,20,75,204,531,280,300,,1,2495.609276,413,32204,430.025,126.175,20,"Census Tract 26, Duval County, Florida",32204,88,55,1,30,4,10,17,3,7,1,12,12,100,56,10,67,43,51,34,46,31,26,,100,75,92,34,75,65,,1,26
12031002701,"Census Tract 27.01, Duval County, Florida",917,333,0,3180,8,59,51,8,0,0,90,35,0,513,27,54,116,250,240,267,,1,2113.294286,202,32209,401.76,62.775,21,"Census Tract 27.01, Duval County, Florida",32209,47,66,1,29,2,3,6,3,1,1,11,6,1,33,13,48,24,23,31,23,26,23,,100,64,46,19,56,34,,1,27.01
12031002702,"Census Tract 27.02, Duval County, Florida",1196,336,0,3586,136,232,223,2,7,0,54,108,0,619,56,56,260,432,358,414,323,1,1843.344353,196,32254,547.561,97.888,22,"Census Tract 27.02, Duval County, Florida",32254,61,67,1,33,16,12,23,1,2,1,7,18,1,41,27,50,55,41,44,36,39,37,40,100,56,44,26,59,41,,1,27.02
12031002801,"Census Tract 28.01, Duval County, Florida",1563,319,0,4526,0,24,14,10,0,0,65,58,0,787,96,60,355,422,226,322,,1,2892.6619,487,32209,679.272,153.384,23,"Census Tract 28.01, Duval County, Florida",32209,80,64,1,42,1,2,2,3,1,1,8,10,1,52,45,54,76,40,56,55,25,28,,100,87,100,26,77,53,,1,28.01
12031002802,"Census Tract 28.02, Duval County, Florida",1349,261,0,4295,36,126,79,31,16,0,38,62,0,1139,5,74,128,404,236,241,,1,1390.937435,493,32204,646.85,228.3,24,"Census Tract 28.02, Duval County, Florida",32204,69,52,1,39,5,7,9,8,4,1,5,11,1,77,3,66,26,38,53,82,26,21,,100,42,100,33,68,48,,1,28.02
12031002901,"Census Tract 29.01, Duval County, Florida",1784,269,0,3348,55,127,98,29,0,0,20,55,17,728,20,62,165,538,300,320,,1,738.9250732,497,32209,397.74,221.598,25,"Census Tract 29.01, Duval County, Florida",32209,91,54,1,31,7,7,11,7,1,1,3,10,18,48,10,55,35,51,31,79,33,28,,100,23,100,27,67,48,,1,29.01
12031002902,"Census Tract 29.02, Duval County, Florida",951,149,0,2828,8,14,8,0,6,0,83,0,0,780,23,50,145,476,203,226,,1,490.7339662,320,32204,487.256,57.178,26,"Census Tract 29.02, Duval County, Florida",32204,48,30,1,26,2,1,2,1,2,1,10,1,1,52,12,45,30,45,39,21,22,19,,100,16,72,24,49,32,,1,29.02
12031010101,"Census Tract 101.01, Duval County, Florida",590,182,0,6922,104,591,203,189,105,94,315,52,0,931,47,76,260,437,300,347,,0,0,64,32218,809.216,50.576,27,"Census Tract 101.01, Duval County, Florida",32218,30,37,1,64,13,30,21,42,22,54,36,9,1,62,23,68,55,42,67,19,33,30,,0,1,15,40,26,39,,5,101.01
12031010102,"Census Tract 101.02, Duval County, Florida",838,155,20,9060,48,695,333,219,104,39,412,108,0,1051,181,68,274,597,1038,1219,,0,2671.101365,46,32226,7244.51,246.791,28,"Census Tract 101.02, Duval County, Florida",32226,43,31,100,83,6,35,34,49,22,23,46,18,1,71,84,61,58,57,100,88,100,100,,0,80,11,47,40,62,,5,101.02
12031010103,"Census Tract 101.03, Duval County, Florida",257,129,0,5698,44,332,184,42,60,46,228,61,0,620,225,37,127,403,658,883,,0,0,30,32218,386.289,38.152,29,"Census Tract 101.03, Duval County, Florida",32218,13,26,1,52,6,17,19,10,13,27,26,10,1,41,100,33,26,38,30,14,71,80,,0,1,8,26,14,20,,5,101.03
12031010201,"Census Tract 102.01, Duval County, Florida",1159,328,0,9731,315,907,538,164,192,13,602,123,8,1467,281,85,371,1311,982,1263,,0,2408.320337,214,32226,1152.032,215.488,30,"Census Tract 102.01, Duval County, Florida",32226,59,65,1,89,37,46,54,37,39,8,67,20,9,100,100,76,79,100,98,77,100,100,,0,73,48,68,59,62,,5,102.01
12031010202,"Census Tract 102.02, Duval County, Florida",167,42,0,3212,79,129,97,0,32,0,70,56,19,326,23,28,25,124,160,183,,0,1025.992203,54,32218,280.665,66.825,31,"Census Tract 102.02, Duval County, Florida",32218,8,9,1,30,10,7,11,1,7,1,9,10,20,20,12,25,4,11,20,25,18,15,,0,31,13,12,13,13,,5,102.02
12031010301,"Census Tract 103.01, Duval County, Florida",353,69,0,4812,14,131,61,65,5,0,130,41,0,849,70,50,133,532,398,468,,0,0,26,32218,542.556,51.672,32,"Census Tract 103.01, Duval County, Florida",32218,18,15,1,44,3,7,7,15,2,1,15,7,1,57,33,45,28,51,44,19,43,42,,0,1,7,28,17,20,,5,103.01
12031010303,"Census Tract 103.03, Duval County, Florida",1041,324,0,7194,135,348,176,64,55,53,247,178,0,1387,73,87,253,610,437,510,538,1,2124.816689,173,32218,867.882,251.56,33,"Census Tract 103.03, Duval County, Florida",32218,53,65,1,66,16,18,18,15,12,31,28,29,1,94,35,78,54,58,73,90,48,45,66,100,64,39,50,67,58,,5,103.03
12031010304,"Census Tract 103.04, Duval County, Florida",1307,334,73,7424,37,257,239,18,0,0,82,64,5,799,143,95,224,944,589,732,,0,2683.525833,223,32218,782.895,280.06,34,"Census Tract 103.04, Duval County, Florida",32218,67,66,100,68,5,13,24,5,1,1,10,11,6,53,67,85,47,91,65,100,64,66,,0,81,50,43,59,67,,5,103.04
12031010401,"Census Tract 104.01, Duval County, Florida",535,141,0,3036,64,181,160,9,12,0,111,92,0,492,42,33,220,248,279,321,,1,773.0826955,219,32218,372.182,70.767,35,"Census Tract 104.01, Duval County, Florida",32218,27,29,1,28,8,9,17,3,3,1,13,15,1,32,20,29,46,23,29,26,31,28,,100,24,50,18,39,25,,5,104.01
12031010402,"Census Tract 104.02, Duval County, Florida",1413,233,12,3969,106,177,167,6,0,4,24,95,23,648,0,69,182,682,306,306,,1,1178.188552,90,32226,469.376,142.048,36,"Census Tract 104.02, Duval County, Florida",32226,72,47,100,36,13,9,17,2,1,3,4,16,24,43,1,62,38,65,37,51,33,27,,100,36,21,32,53,60,,5,104.02
12031010500,"Census Tract 105, Duval County, Florida",2117,834,0,15696,151,902,449,82,352,19,372,72,0,1876,236,157,556,1486,847,1083,284,0,4086.8859,209,32218,2319.68,250.42,37,"Census Tract 105, Duval County, Florida",32218,100,100,1,100,18,45,45,19,71,12,42,12,1,100,100,100,100,100,100,90,92,98,35,0,100,47,66,80,72,,5,105
12031010600,"Census Tract 106, Duval County, Florida",590,63,0,5327,44,207,147,60,0,0,53,26,97,1090,118,47,62,380,137,255,,0,0,62,32219,537.49,318.85,38,"Census Tract 106, Duval County, Florida",32219,30,13,1,49,6,11,15,14,1,1,7,5,100,74,55,42,12,36,43,100,15,22,,0,1,15,27,20,41,,5,106
12031010700,"Census Tract 107, Duval County, Florida",1329,254,0,5110,43,144,95,43,0,6,35,44,0,953,95,68,533,612,277,372,,1,2034.99676,136,32219,1087.367,224.243,39,"Census Tract 107, Duval County, Florida",32219,68,51,1,47,6,8,10,10,1,4,5,8,1,64,45,61,100,59,92,80,30,33,,100,61,31,33,61,53,,5,107
12031010800,"Census Tract 108, Duval County, Florida",1481,258,0,5019,14,74,66,8,0,0,77,27,218,840,32,80,150,400,113,145,,1,3331.065707,296,32208,860.874,146.265,40,"Census Tract 108, Duval County, Florida",32208,76,52,1,46,3,4,7,3,1,1,9,5,100,56,16,72,31,38,72,53,13,12,,100,100,67,29,74,65,,1,108
12031010900,"Census Tract 109, Duval County, Florida",209,58,0,3150,30,74,66,0,0,8,21,8,0,522,26,49,116,129,60,86,,1,1610.03747,92,32208,585.046,63.404,41,"Census Tract 109, Duval County, Florida",32208,10,12,1,29,4,4,7,1,1,6,3,2,1,34,13,44,24,12,47,23,7,6,,100,49,21,14,33,20,,1,109
12031011000,"Census Tract 110, Duval County, Florida",1137,307,0,4159,40,88,70,18,0,0,45,18,28,977,13,54,466,608,220,233,,1,1796.648922,173,32208,638.064,47.264,42,"Census Tract 110, Duval County, Florida",32208,58,61,1,38,6,5,8,5,1,1,6,4,29,66,7,48,100,58,52,18,24,20,,100,54,39,29,59,50,,1,110
12031011100,"Census Tract 111, Duval County, Florida",640,184,0,3026,82,125,105,20,0,0,31,83,27,431,72,33,134,321,218,290,,1,1201.893998,159,32208,439.775,22.617,43,"Census Tract 111, Duval County, Florida",32208,32,37,1,28,10,7,11,5,1,1,4,14,28,27,34,29,28,30,35,9,24,25,,100,37,36,16,40,29,,1,111
12031011200,"Census Tract 112, Duval County, Florida",809,186,0,2882,0,46,9,37,0,0,2,0,23,599,77,47,225,432,129,206,,1,882.1383838,65,32209,529.925,43.945,44,"Census Tract 112, Duval County, Florida",32209,41,37,1,27,1,3,2,9,1,1,1,1,24,39,36,42,48,41,43,17,14,17,,100,27,15,19,40,32,,1,112
12031011300,"Census Tract 113, Duval County, Florida",921,196,0,2684,0,19,9,10,0,0,0,0,11,420,66,48,155,180,270,336,,1,1817.398099,246,32209,395.944,124.308,45,"Census Tract 113, Duval County, Florida",32209,47,39,1,25,1,1,2,3,1,1,1,1,12,27,31,43,32,17,31,45,30,29,,100,55,55,13,50,32,,1,113
12031011400,"Census Tract 114, Duval County, Florida",521,139,0,2200,0,13,0,0,7,6,16,10,19,398,28,17,62,144,146,174,,1,263.2494562,134,32219,272.412,67.62,46,"Census Tract 114, Duval County, Florida",32219,26,28,1,20,1,1,1,1,2,4,3,3,20,25,14,15,12,13,20,25,16,14,,100,9,31,7,30,20,,5,114
12031011500,"Census Tract 115, Duval County, Florida",1895,382,0,4122,18,63,63,0,0,0,30,8,11,815,151,78,342,481,464,615,,1,2216.482639,495,32209,547.074,121.572,47,"Census Tract 115, Duval County, Florida",32209,97,76,1,38,3,4,7,1,1,1,4,2,12,54,71,70,73,46,44,44,50,55,,100,67,100,28,81,58,,1,115
12031011600,"Census Tract 116, Duval County, Florida",1370,295,0,3306,0,47,23,0,24,0,52,13,67,586,24,64,247,245,300,324,357,1,1296.886474,406,32209,624.025,201.65,48,"Census Tract 116, Duval County, Florida",32209,70,59,1,30,1,3,3,1,6,1,7,3,67,38,12,57,52,23,51,72,33,28,44,100,40,91,20,64,53,,1,116
12031011700,"Census Tract 117, Duval County, Florida",362,153,0,2708,93,274,163,98,13,0,21,87,132,554,24,42,84,409,347,371,,1,1344.602188,86,32220,311.985,106.306,49,"Census Tract 117, Duval County, Florida",32220,18,31,1,25,11,14,17,22,4,1,3,15,100,36,12,37,17,39,23,39,38,33,,100,41,20,22,37,39,,5,117
12031011800,"Census Tract 118, Duval County, Florida",1044,184,0,2629,17,93,55,15,0,23,34,9,0,642,79,31,238,226,236,315,236,1,616.2187829,137,32254,338.772,86.982,50,"Census Tract 118, Duval County, Florida",32254,53,37,1,24,3,5,6,4,1,14,5,2,1,42,37,27,50,21,26,32,26,27,30,100,19,31,15,42,29,,1,118
12031011901,"Census Tract 119.01, Duval County, Florida",1295,176,0,7301,186,519,134,348,37,0,204,94,17,921,104,68,398,959,499,603,,0,1924.822808,150,32220,828.713,187.519,51,"Census Tract 119.01, Duval County, Florida",32220,66,36,1,67,22,26,14,77,8,1,23,16,18,62,49,61,85,92,69,67,54,54,,0,58,34,46,46,48,,5,119.01
12031011902,"Census Tract 119.02, Duval County, Florida",1757,239,0,9854,921,1814,874,189,750,1,663,436,63,1699,93,52,271,845,921,1014,657,1,3727.823883,231,32221,852.072,253.983,52,"Census Tract 119.02, Duval County, Florida",32221,90,48,1,90,100,91,87,42,100,1,74,69,63,100,44,46,58,81,71,91,100,92,81,100,100,52,78,77,72,,4,119.02
12031011903,"Census Tract 119.03, Duval County, Florida",602,166,0,5111,262,488,78,60,350,0,360,127,56,555,68,30,106,522,217,285,,0,1323.359466,17,32221,414.687,66.885,53,"Census Tract 119.03, Duval County, Florida",32221,30,34,1,47,31,25,9,14,71,1,41,21,56,36,32,26,22,50,32,25,24,25,,0,40,5,32,24,32,,4,119.03
12031012000,"Census Tract 120, Duval County, Florida",686,193,0,4590,167,316,153,68,95,0,70,91,0,527,40,41,157,597,343,383,,1,526.7972431,143,32220,709.872,192.9,54,"Census Tract 120, Duval County, Florida",32220,35,39,1,42,20,16,16,16,20,1,9,15,1,34,19,36,33,57,59,69,37,34,,100,17,33,26,40,32,,5,120
12031012100,"Census Tract 121, Duval County, Florida",554,86,0,1612,42,132,92,8,32,0,48,86,0,448,15,20,80,256,123,138,,1,599.8139391,121,32236,235.564,67.116,55,"Census Tract 121, Duval County, Florida",32236,28,18,1,15,6,7,10,3,7,1,6,14,1,29,8,17,16,24,16,25,14,11,,100,19,28,14,32,18,,4,121
